"id","id_sensor","key","date","value"
355,2373,"NO2",2022-12-09 03:00:00,17
355,2373,"NO2",2022-12-09 02:00:00,14.7
355,2373,"NO2",2022-12-09 01:00:00,14.5
355,2373,"NO2",2022-12-09 00:00:00,14.5
355,2373,"NO2",2022-12-08 23:00:00,14.5
355,2373,"NO2",2022-12-08 22:00:00,19.4
355,2373,"NO2",2022-12-08 21:00:00,18.6
355,2373,"NO2",2022-12-08 20:00:00,21.1
355,2373,"NO2",2022-12-08 19:00:00,22.1
355,2373,"NO2",2022-12-08 18:00:00,21.6
355,2373,"NO2",2022-12-08 17:00:00,22.8
355,2373,"NO2",2022-12-08 16:00:00,30.8
355,2373,"NO2",2022-12-08 15:00:00,37.1
355,2373,"NO2",2022-12-08 14:00:00,30.4
355,2373,"NO2",2022-12-08 13:00:00,23.2
355,2373,"NO2",2022-12-08 12:00:00,24.2
355,2373,"NO2",2022-12-08 11:00:00,22.3
355,2373,"NO2",2022-12-08 10:00:00,21.1
355,2373,"NO2",2022-12-08 09:00:00,20.6
355,2373,"NO2",2022-12-08 08:00:00,29.3
355,2373,"NO2",2022-12-08 07:00:00,37.1
355,2373,"NO2",2022-12-08 06:00:00,36.7
355,2373,"NO2",2022-12-08 05:00:00,25.5
355,2373,"NO2",2022-12-08 04:00:00,15
355,2373,"NO2",2022-12-08 03:00:00,9.3
355,2373,"NO2",2022-12-08 02:00:00,7.8
355,2373,"NO2",2022-12-08 01:00:00,6.4
355,2373,"NO2",2022-12-08 00:00:00,4.7
355,2373,"NO2",2022-12-07 23:00:00,5.3
355,2375,"O3",2022-12-10 20:00:00,42.2
355,2375,"O3",2022-12-10 19:00:00,40.2
355,2375,"O3",2022-12-10 18:00:00,42.4
355,2375,"O3",2022-12-10 17:00:00,36
355,2375,"O3",2022-12-10 16:00:00,31.8
355,2375,"O3",2022-12-10 15:00:00,32
355,2375,"O3",2022-12-10 14:00:00,32.9
355,2375,"O3",2022-12-10 13:00:00,33.2
355,2375,"O3",2022-12-10 12:00:00,33.7
355,2375,"O3",2022-12-10 11:00:00,33.4
355,2375,"O3",2022-12-10 10:00:00,28.4
355,2375,"O3",2022-12-10 09:00:00,23.8
355,2375,"O3",2022-12-10 08:00:00,21.1
355,2375,"O3",2022-12-10 07:00:00,20.6
355,2375,"O3",2022-12-10 06:00:00,19.6
355,2375,"O3",2022-12-10 05:00:00,18.8
355,2375,"O3",2022-12-10 04:00:00,17.9
355,2375,"O3",2022-12-10 03:00:00,20.2
355,2375,"O3",2022-12-10 02:00:00,15.4
355,2375,"O3",2022-12-10 01:00:00,13.5
355,2375,"O3",2022-12-10 00:00:00,12.2
355,2375,"O3",2022-12-09 23:00:00,13
355,2375,"O3",2022-12-09 22:00:00,9.1
355,2375,"O3",2022-12-09 21:00:00,1.8
355,2375,"O3",2022-12-09 20:00:00,1.9
355,2375,"O3",2022-12-09 19:00:00,2.4
355,2375,"O3",2022-12-09 18:00:00,2.2
355,2375,"O3",2022-12-09 17:00:00,2.4
355,2375,"O3",2022-12-09 16:00:00,3.2
355,2375,"O3",2022-12-09 15:00:00,4
355,2375,"O3",2022-12-09 14:00:00,6.1
355,2375,"O3",2022-12-09 13:00:00,12.7
355,2375,"O3",2022-12-09 12:00:00,17
355,2375,"O3",2022-12-09 11:00:00,14.2
355,2375,"O3",2022-12-09 10:00:00,10.6
355,2375,"O3",2022-12-09 09:00:00,11.3
355,2375,"O3",2022-12-09 08:00:00,7.2
355,2375,"O3",2022-12-09 07:00:00,5.9
355,2375,"O3",2022-12-09 06:00:00,4.1
355,2375,"O3",2022-12-09 05:00:00,5
355,2375,"O3",2022-12-09 04:00:00,9.7
355,2375,"O3",2022-12-09 03:00:00,15.4
355,2375,"O3",2022-12-09 02:00:00,17.2
355,2375,"O3",2022-12-09 01:00:00,18.6
355,2375,"O3",2022-12-09 00:00:00,19.5
355,2375,"O3",2022-12-08 23:00:00,20.4
355,2375,"O3",2022-12-08 22:00:00,18
355,2375,"O3",2022-12-08 21:00:00,20.2
355,2375,"O3",2022-12-08 20:00:00,20.2
355,2375,"O3",2022-12-08 19:00:00,22.3
355,2375,"O3",2022-12-08 18:00:00,23.3
355,2375,"O3",2022-12-08 17:00:00,20.6
355,2375,"O3",2022-12-08 16:00:00,12.3
355,2375,"O3",2022-12-08 15:00:00,7.5
355,2375,"O3",2022-12-08 14:00:00,15.3
355,2375,"O3",2022-12-08 13:00:00,24.4
355,2375,"O3",2022-12-08 12:00:00,20.8
355,2375,"O3",2022-12-08 11:00:00,19.3
355,2375,"O3",2022-12-08 10:00:00,21.9
355,2375,"O3",2022-12-08 09:00:00,21
355,2375,"O3",2022-12-08 08:00:00,15.9
355,2375,"O3",2022-12-08 07:00:00,13
355,2375,"O3",2022-12-08 06:00:00,16.8
355,2375,"O3",2022-12-08 05:00:00,26.2
355,2375,"O3",2022-12-08 04:00:00,40.3
355,2375,"O3",2022-12-08 03:00:00,41.6
355,2375,"O3",2022-12-08 02:00:00,41.5
355,2375,"O3",2022-12-08 01:00:00,48.7
355,2375,"O3",2022-12-08 00:00:00,57
355,2375,"O3",2022-12-07 23:00:00,57.2
355,2377,"PM10",2022-12-10 20:00:00,24
355,2377,"PM10",2022-12-10 19:00:00,24
355,2377,"PM10",2022-12-10 18:00:00,34
355,2377,"PM10",2022-12-10 17:00:00,45
355,2377,"PM10",2022-12-10 16:00:00,46
355,2377,"PM10",2022-12-10 15:00:00,39
355,2377,"PM10",2022-12-10 14:00:00,34
355,2377,"PM10",2022-12-10 13:00:00,33
355,2377,"PM10",2022-12-10 12:00:00,31
355,2377,"PM10",2022-12-10 11:00:00,37
355,2377,"PM10",2022-12-10 10:00:00,37
355,2377,"PM10",2022-12-10 09:00:00,41
355,2377,"PM10",2022-12-10 08:00:00,37
355,2377,"PM10",2022-12-10 07:00:00,39
355,2377,"PM10",2022-12-10 06:00:00,41
355,2377,"PM10",2022-12-10 05:00:00,49
355,2377,"PM10",2022-12-10 04:00:00,43
355,2377,"PM10",2022-12-10 03:00:00,44
355,2377,"PM10",2022-12-10 02:00:00,44
355,2377,"PM10",2022-12-10 01:00:00,48
355,2377,"PM10",2022-12-10 00:00:00,49
355,2377,"PM10",2022-12-09 23:00:00,41
355,2377,"PM10",2022-12-09 22:00:00,59
355,2377,"PM10",2022-12-09 21:00:00,51
355,2377,"PM10",2022-12-09 20:00:00,57
355,2377,"PM10",2022-12-09 19:00:00,58
355,2377,"PM10",2022-12-09 18:00:00,67
355,2377,"PM10",2022-12-09 17:00:00,70
355,2377,"PM10",2022-12-09 16:00:00,70
355,2377,"PM10",2022-12-09 15:00:00,65
355,2377,"PM10",2022-12-09 14:00:00,57
355,2377,"PM10",2022-12-09 13:00:00,51
355,2377,"PM10",2022-12-09 12:00:00,61
355,2377,"PM10",2022-12-09 11:00:00,69
355,2377,"PM10",2022-12-09 10:00:00,79
355,2377,"PM10",2022-12-09 09:00:00,71
355,2377,"PM10",2022-12-09 08:00:00,62
355,2377,"PM10",2022-12-09 07:00:00,55
355,2377,"PM10",2022-12-09 06:00:00,42
355,2377,"PM10",2022-12-09 05:00:00,38
355,2377,"PM10",2022-12-09 04:00:00,31
355,2377,"PM10",2022-12-09 03:00:00,32
355,2377,"PM10",2022-12-09 02:00:00,29
355,2377,"PM10",2022-12-09 01:00:00,28
355,2377,"PM10",2022-12-09 00:00:00,25
355,2377,"PM10",2022-12-08 23:00:00,30
355,2377,"PM10",2022-12-08 22:00:00,37
355,2377,"PM10",2022-12-08 21:00:00,30
355,2377,"PM10",2022-12-08 20:00:00,42
355,2377,"PM10",2022-12-08 19:00:00,35
355,2377,"PM10",2022-12-08 18:00:00,39
355,2377,"PM10",2022-12-08 17:00:00,47
355,2377,"PM10",2022-12-08 16:00:00,48
355,2377,"PM10",2022-12-08 15:00:00,42
355,2377,"PM10",2022-12-08 14:00:00,34
355,2377,"PM10",2022-12-08 13:00:00,33
355,2377,"PM10",2022-12-08 12:00:00,33
355,2377,"PM10",2022-12-08 11:00:00,29
355,2377,"PM10",2022-12-08 10:00:00,34
355,2377,"PM10",2022-12-08 09:00:00,34
355,2377,"PM10",2022-12-08 08:00:00,32
355,2377,"PM10",2022-12-08 07:00:00,44
355,2377,"PM10",2022-12-08 06:00:00,32
355,2377,"PM10",2022-12-08 05:00:00,11
355,2377,"PM10",2022-12-08 04:00:00,14
355,2377,"PM10",2022-12-08 03:00:00,19
355,2377,"PM10",2022-12-08 02:00:00,14
355,2377,"PM10",2022-12-08 01:00:00,6
355,2377,"PM10",2022-12-08 00:00:00,10
355,2377,"PM10",2022-12-07 23:00:00,11
355,2378,"PM2.5",2022-12-10 20:00:00,14
355,2378,"PM2.5",2022-12-10 19:00:00,15
355,2378,"PM2.5",2022-12-10 18:00:00,21
355,2378,"PM2.5",2022-12-10 17:00:00,28
355,2378,"PM2.5",2022-12-10 16:00:00,29
355,2378,"PM2.5",2022-12-10 15:00:00,23
355,2378,"PM2.5",2022-12-10 14:00:00,21
355,2378,"PM2.5",2022-12-10 13:00:00,21
355,2378,"PM2.5",2022-12-10 12:00:00,19
355,2378,"PM2.5",2022-12-10 11:00:00,24
355,2378,"PM2.5",2022-12-10 10:00:00,24
355,2378,"PM2.5",2022-12-10 09:00:00,27
355,2378,"PM2.5",2022-12-10 08:00:00,23
355,2378,"PM2.5",2022-12-10 07:00:00,25
355,2378,"PM2.5",2022-12-10 06:00:00,25
355,2378,"PM2.5",2022-12-10 05:00:00,30
355,2378,"PM2.5",2022-12-10 04:00:00,25
355,2378,"PM2.5",2022-12-10 03:00:00,26
355,2378,"PM2.5",2022-12-10 02:00:00,26
355,2378,"PM2.5",2022-12-10 01:00:00,28
355,2378,"PM2.5",2022-12-10 00:00:00,31
355,2378,"PM2.5",2022-12-09 23:00:00,26
355,2378,"PM2.5",2022-12-09 22:00:00,38
355,2378,"PM2.5",2022-12-09 21:00:00,31
355,2378,"PM2.5",2022-12-09 20:00:00,36
355,2378,"PM2.5",2022-12-09 19:00:00,36
355,2378,"PM2.5",2022-12-09 18:00:00,42
355,2378,"PM2.5",2022-12-09 17:00:00,44
355,2378,"PM2.5",2022-12-09 16:00:00,46
355,2378,"PM2.5",2022-12-09 15:00:00,43
355,2378,"PM2.5",2022-12-09 14:00:00,38
355,2378,"PM2.5",2022-12-09 13:00:00,32
355,2378,"PM2.5",2022-12-09 12:00:00,40
355,2378,"PM2.5",2022-12-09 11:00:00,47
355,2378,"PM2.5",2022-12-09 10:00:00,53
355,2378,"PM2.5",2022-12-09 09:00:00,48
355,2378,"PM2.5",2022-12-09 08:00:00,42
355,2378,"PM2.5",2022-12-09 07:00:00,36
355,2378,"PM2.5",2022-12-09 06:00:00,26
355,2378,"PM2.5",2022-12-09 05:00:00,24
355,2378,"PM2.5",2022-12-09 04:00:00,18
355,2378,"PM2.5",2022-12-09 03:00:00,19
355,2378,"PM2.5",2022-12-09 02:00:00,16
355,2378,"PM2.5",2022-12-09 01:00:00,15
355,2378,"PM2.5",2022-12-09 00:00:00,14
355,2378,"PM2.5",2022-12-08 23:00:00,18
355,2378,"PM2.5",2022-12-08 22:00:00,23
355,2378,"PM2.5",2022-12-08 21:00:00,18
355,2378,"PM2.5",2022-12-08 20:00:00,27
355,2378,"PM2.5",2022-12-08 19:00:00,22
355,2378,"PM2.5",2022-12-08 18:00:00,24
355,2378,"PM2.5",2022-12-08 17:00:00,30
