"key","date","value","id","id_sensor"
"NO2",2022-11-11 09:00:00,6.5,291,2031
"NO2",2022-11-11 08:00:00,6.4,291,2031
"NO2",2022-11-11 07:00:00,6.5,291,2031
"NO2",2022-11-11 06:00:00,7.2,291,2031
"NO2",2022-11-11 05:00:00,7.6,291,2031
"NO2",2022-11-11 04:00:00,7.5,291,2031
"NO2",2022-11-11 03:00:00,7.1,291,2031
"NO2",2022-11-11 02:00:00,7.4,291,2031
"NO2",2022-11-11 01:00:00,9.7,291,2031
"NO2",2022-11-11 00:00:00,11.2,291,2031
"NO2",2022-11-10 23:00:00,11,291,2031
"O3",2022-11-13 07:00:00,27.6,291,2033
"O3",2022-11-13 06:00:00,27.3,291,2033
"O3",2022-11-13 05:00:00,27.9,291,2033
"O3",2022-11-13 04:00:00,26.6,291,2033
"O3",2022-11-13 03:00:00,28.1,291,2033
"O3",2022-11-13 02:00:00,30,291,2033
"O3",2022-11-13 01:00:00,28.6,291,2033
"O3",2022-11-13 00:00:00,27.4,291,2033
"O3",2022-11-12 23:00:00,26.6,291,2033
"O3",2022-11-12 22:00:00,27.1,291,2033
"O3",2022-11-12 21:00:00,26.3,291,2033
"O3",2022-11-12 20:00:00,26.6,291,2033
"O3",2022-11-12 19:00:00,28.8,291,2033
"O3",2022-11-12 18:00:00,30.2,291,2033
"O3",2022-11-12 17:00:00,32.3,291,2033
"O3",2022-11-12 16:00:00,39.5,291,2033
"O3",2022-11-12 15:00:00,43.2,291,2033
"O3",2022-11-12 14:00:00,42.7,291,2033
"O3",2022-11-12 13:00:00,45,291,2033
"O3",2022-11-12 12:00:00,46.1,291,2033
"O3",2022-11-12 11:00:00,44.4,291,2033
"O3",2022-11-12 10:00:00,43.1,291,2033
"O3",2022-11-12 09:00:00,32.3,291,2033
"O3",2022-11-12 08:00:00,24.2,291,2033
"O3",2022-11-12 07:00:00,20.4,291,2033
"O3",2022-11-12 06:00:00,19.1,291,2033
"O3",2022-11-12 05:00:00,18.9,291,2033
"O3",2022-11-12 04:00:00,20.8,291,2033
"O3",2022-11-12 03:00:00,21.8,291,2033
"O3",2022-11-12 02:00:00,20.3,291,2033
"O3",2022-11-12 01:00:00,17.4,291,2033
"O3",2022-11-12 00:00:00,18.5,291,2033
"O3",2022-11-11 23:00:00,18.3,291,2033
"O3",2022-11-11 22:00:00,19,291,2033
"O3",2022-11-11 21:00:00,21.9,291,2033
"O3",2022-11-11 20:00:00,27.5,291,2033
"O3",2022-11-11 19:00:00,29.7,291,2033
"O3",2022-11-11 18:00:00,33.4,291,2033
"O3",2022-11-11 17:00:00,37.4,291,2033
"O3",2022-11-11 16:00:00,35.3,291,2033
"O3",2022-11-11 15:00:00,34.6,291,2033
"O3",2022-11-11 14:00:00,36.9,291,2033
"O3",2022-11-11 13:00:00,37.1,291,2033
"O3",2022-11-11 12:00:00,40,291,2033
"O3",2022-11-11 11:00:00,38.2,291,2033
"O3",2022-11-11 10:00:00,35.8,291,2033
"O3",2022-11-11 09:00:00,35.1,291,2033
"O3",2022-11-11 08:00:00,31.8,291,2033
"O3",2022-11-11 07:00:00,29.1,291,2033
"O3",2022-11-11 06:00:00,26.8,291,2033
"O3",2022-11-11 05:00:00,25.7,291,2033
"O3",2022-11-11 04:00:00,24.9,291,2033
"O3",2022-11-11 03:00:00,26.1,291,2033
"O3",2022-11-11 02:00:00,27.4,291,2033
"O3",2022-11-11 01:00:00,26,291,2033
"O3",2022-11-11 00:00:00,24,291,2033
"O3",2022-11-10 23:00:00,24.4,291,2033
"PM10",2022-11-13 07:00:00,28,291,2035
"PM10",2022-11-13 06:00:00,26,291,2035
"PM10",2022-11-13 05:00:00,28,291,2035
"PM10",2022-11-13 04:00:00,32,291,2035
"PM10",2022-11-13 03:00:00,24,291,2035
"PM10",2022-11-13 02:00:00,27,291,2035
"PM10",2022-11-13 01:00:00,32,291,2035
"PM10",2022-11-13 00:00:00,28,291,2035
"PM10",2022-11-12 23:00:00,31,291,2035
"PM10",2022-11-12 22:00:00,26,291,2035
"PM10",2022-11-12 21:00:00,31,291,2035
"PM10",2022-11-12 20:00:00,36,291,2035
"PM10",2022-11-12 19:00:00,33,291,2035
"PM10",2022-11-12 18:00:00,28,291,2035
"PM10",2022-11-12 17:00:00,28,291,2035
"PM10",2022-11-12 16:00:00,28,291,2035
"PM10",2022-11-12 15:00:00,23,291,2035
"PM10",2022-11-12 14:00:00,24,291,2035
"PM10",2022-11-12 13:00:00,19,291,2035
"PM10",2022-11-12 12:00:00,22,291,2035
"PM10",2022-11-12 11:00:00,23,291,2035
"PM10",2022-11-12 10:00:00,28,291,2035
"PM10",2022-11-12 09:00:00,23,291,2035
"PM10",2022-11-12 08:00:00,21,291,2035
"PM10",2022-11-12 07:00:00,22,291,2035
"PM10",2022-11-12 06:00:00,21,291,2035
"PM10",2022-11-12 05:00:00,26,291,2035
"PM10",2022-11-12 04:00:00,25,291,2035
"PM10",2022-11-12 03:00:00,21,291,2035
"PM10",2022-11-12 02:00:00,26,291,2035
"PM10",2022-11-12 01:00:00,27,291,2035
"PM10",2022-11-12 00:00:00,24,291,2035
"PM10",2022-11-11 23:00:00,23,291,2035
"PM10",2022-11-11 22:00:00,21,291,2035
"PM10",2022-11-11 21:00:00,22,291,2035
"PM10",2022-11-11 20:00:00,23,291,2035
"PM10",2022-11-11 19:00:00,20,291,2035
"PM10",2022-11-11 18:00:00,15,291,2035
"PM10",2022-11-11 17:00:00,16,291,2035
"PM10",2022-11-11 16:00:00,17,291,2035
"PM10",2022-11-11 15:00:00,19,291,2035
"PM10",2022-11-11 14:00:00,17,291,2035
"PM10",2022-11-11 13:00:00,14,291,2035
"PM10",2022-11-11 12:00:00,20,291,2035
"PM10",2022-11-11 11:00:00,19,291,2035
"PM10",2022-11-11 10:00:00,17,291,2035
"PM10",2022-11-11 09:00:00,17,291,2035
"PM10",2022-11-11 08:00:00,19,291,2035
"PM10",2022-11-11 07:00:00,22,291,2035
"PM10",2022-11-11 06:00:00,22,291,2035
"PM10",2022-11-11 05:00:00,22,291,2035
"PM10",2022-11-11 04:00:00,22,291,2035
"PM10",2022-11-11 03:00:00,23,291,2035
"PM10",2022-11-11 02:00:00,27,291,2035
"PM10",2022-11-11 01:00:00,25,291,2035
"PM10",2022-11-11 00:00:00,17,291,2035
"PM10",2022-11-10 23:00:00,29,291,2035
"O3",2022-11-13 07:00:00,37.2122,659,14448
"O3",2022-11-13 06:00:00,36.4961,659,14448
"O3",2022-11-13 05:00:00,39.7944,659,14448
"O3",2022-11-13 04:00:00,39.7439,659,14448
"O3",2022-11-13 03:00:00,36.7117,659,14448
"O3",2022-11-13 02:00:00,33.2228,659,14448
"O3",2022-11-13 01:00:00,33.3078,659,14448
"O3",2022-11-13 00:00:00,32.5061,659,14448
"O3",2022-11-12 23:00:00,34.4961,659,14448
"O3",2022-11-12 22:00:00,31.1617,659,14448
"O3",2022-11-12 21:00:00,29.4739,659,14448
"O3",2022-11-12 20:00:00,29.3978,659,14448
"O3",2022-11-12 19:00:00,28.3239,659,14448
"O3",2022-11-12 18:00:00,22.2311,659,14448
"O3",2022-11-12 17:00:00,19.6611,659,14448
"O3",2022-11-12 16:00:00,14.3011,659,14448
"O3",2022-11-12 15:00:00,8.30278,659,14448
"O3",2022-11-12 14:00:00,31.8933,659,14448
"O3",2022-11-12 13:00:00,47.0611,659,14448
"O3",2022-11-12 12:00:00,49.29,659,14448
"O3",2022-11-12 11:00:00,48.9478,659,14448
"O3",2022-11-12 10:00:00,49.165,659,14448
"O3",2022-11-12 09:00:00,40.6489,659,14448
"O3",2022-11-12 08:00:00,32.5089,659,14448
"O3",2022-11-12 07:00:00,31.6411,659,14448
"O3",2022-11-12 06:00:00,30.9017,659,14448
"O3",2022-11-12 05:00:00,26.7322,659,14448
"O3",2022-11-12 04:00:00,27.9006,659,14448
"O3",2022-11-12 03:00:00,29.0761,659,14448
"O3",2022-11-12 02:00:00,27.8961,659,14448
"O3",2022-11-12 01:00:00,29.0528,659,14448
"O3",2022-11-12 00:00:00,28.3961,659,14448
"O3",2022-11-11 23:00:00,28.3556,659,14448
"O3",2022-11-11 22:00:00,28.4961,659,14448
"O3",2022-11-11 21:00:00,32.0572,659,14448
"O3",2022-11-11 20:00:00,36.3172,659,14448
"O3",2022-11-11 19:00:00,38.7928,659,14448
"O3",2022-11-11 18:00:00,39.5083,659,14448
"O3",2022-11-11 17:00:00,40.8694,659,14448
"O3",2022-11-11 16:00:00,39.4317,659,14448
"O3",2022-11-11 15:00:00,39.4306,659,14448
"O3",2022-11-11 14:00:00,36.4006,659,14448
"O3",2022-11-11 13:00:00,39.8856,659,14448
"O3",2022-11-11 12:00:00,42.0139,659,14448
"O3",2022-11-11 11:00:00,44.5706,659,14448
"O3",2022-11-11 10:00:00,41.2467,659,14448
"O3",2022-11-11 09:00:00,32.695,659,14448
"O3",2022-11-11 08:00:00,24.1456,659,14448
"O3",2022-11-11 07:00:00,18.4294,659,14448
"O3",2022-11-11 06:00:00,17.0072,659,14448
"O3",2022-11-11 05:00:00,16.46,659,14448
"O3",2022-11-11 04:00:00,18.6178,659,14448
"O3",2022-11-11 03:00:00,21.0678,659,14448
"O3",2022-11-11 02:00:00,16.8339,659,14448
"O3",2022-11-11 01:00:00,8.08,659,14448
"O3",2022-11-11 00:00:00,15.2644,659,14448
"O3",2022-11-10 23:00:00,14.8644,659,14448
"CO",2022-11-13 07:00:00,356.88,659,4274
"CO",2022-11-13 06:00:00,366.98,659,4274
"CO",2022-11-13 05:00:00,359.96,659,4274
"CO",2022-11-13 04:00:00,361.05,659,4274
"CO",2022-11-13 03:00:00,373.14,659,4274
"CO",2022-11-13 02:00:00,380.06,659,4274
"CO",2022-11-13 01:00:00,381.94,659,4274
"CO",2022-11-13 00:00:00,384.57,659,4274
"CO",2022-11-12 23:00:00,390.54,659,4274
"CO",2022-11-12 22:00:00,404.51,659,4274
"CO",2022-11-12 21:00:00,441.6,659,4274
"CO",2022-11-12 20:00:00,470.76,659,4274
"CO",2022-11-12 19:00:00,501.27,659,4274
"CO",2022-11-12 18:00:00,580.7,659,4274
"CO",2022-11-12 17:00:00,571.57,659,4274
"CO",2022-11-12 16:00:00,628.09,659,4274
"CO",2022-11-12 15:00:00,609.37,659,4274
"CO",2022-11-12 14:00:00,425.98,659,4274
"CO",2022-11-12 13:00:00,340.07,659,4274
"CO",2022-11-12 12:00:00,315.98,659,4274
"CO",2022-11-12 11:00:00,312.2,659,4274
"CO",2022-11-12 10:00:00,302.36,659,4274
"CO",2022-11-12 09:00:00,315.9,659,4274
"CO",2022-11-12 08:00:00,333.68,659,4274
"CO",2022-11-12 07:00:00,336.26,659,4274
"CO",2022-11-12 06:00:00,324.68,659,4274
"CO",2022-11-12 05:00:00,343.26,659,4274
"CO",2022-11-12 04:00:00,339.53,659,4274
"CO",2022-11-12 03:00:00,344.27,659,4274
"CO",2022-11-12 02:00:00,353.67,659,4274
"CO",2022-11-12 01:00:00,358.65,659,4274
"CO",2022-11-12 00:00:00,376.35,659,4274
"CO",2022-11-11 23:00:00,416.92,659,4274
"CO",2022-11-11 22:00:00,410.6,659,4274
"CO",2022-11-11 21:00:00,397.97,659,4274
"CO",2022-11-11 20:00:00,374.69,659,4274
"CO",2022-11-11 19:00:00,362.4,659,4274
"CO",2022-11-11 18:00:00,369.46,659,4274
"CO",2022-11-11 17:00:00,376.81,659,4274
"CO",2022-11-11 16:00:00,418.03,659,4274
"CO",2022-11-11 15:00:00,361.76,659,4274
"CO",2022-11-11 14:00:00,380.41,659,4274
"CO",2022-11-11 13:00:00,343.38,659,4274
"CO",2022-11-11 12:00:00,319.72,659,4274
"CO",2022-11-11 11:00:00,309.42,659,4274
"CO",2022-11-11 10:00:00,322.49,659,4274
"CO",2022-11-11 09:00:00,372.81,659,4274
"CO",2022-11-11 08:00:00,421.43,659,4274
"CO",2022-11-11 07:00:00,430.18,659,4274
"CO",2022-11-11 06:00:00,414.47,659,4274
"CO",2022-11-11 05:00:00,388.69,659,4274
"CO",2022-11-11 04:00:00,385.35,659,4274
"CO",2022-11-11 03:00:00,347.19,659,4274
"CO",2022-11-11 02:00:00,332.99,659,4274
"CO",2022-11-11 01:00:00,339.43,659,4274
"CO",2022-11-11 00:00:00,352.68,659,4274
"CO",2022-11-10 23:00:00,382.29,659,4274
"NO2",2022-11-13 07:00:00,6.92941,659,4278
"NO2",2022-11-13 06:00:00,7.0351,659,4278
"NO2",2022-11-13 05:00:00,6.87789,659,4278
"NO2",2022-11-13 04:00:00,7.50194,659,4278
"NO2",2022-11-13 03:00:00,8.68792,659,4278
"NO2",2022-11-13 02:00:00,9.74376,659,4278
"NO2",2022-11-13 01:00:00,9.35287,659,4278
"NO2",2022-11-13 00:00:00,9.77138,659,4278
"NO2",2022-11-12 23:00:00,8.3581,659,4278
"NO2",2022-11-12 22:00:00,9.1822,659,4278
"NO2",2022-11-12 21:00:00,12.0286,659,4278
"NO2",2022-11-12 20:00:00,9.70818,659,4278
"NO2",2022-11-12 19:00:00,11.3318,659,4278
"NO2",2022-11-12 18:00:00,18.3451,659,4278
"NO2",2022-11-12 17:00:00,20.0378,659,4278
"NO2",2022-11-12 16:00:00,26.7239,659,4278
"NO2",2022-11-12 15:00:00,30.6616,659,4278
"NO2",2022-11-12 14:00:00,20.3208,659,4278
"NO2",2022-11-12 13:00:00,8.79254,659,4278
"NO2",2022-11-12 12:00:00,7.30596,659,4278
"NO2",2022-11-12 11:00:00,6.86886,659,4278
"NO2",2022-11-12 10:00:00,6.96021,659,4278
"NO2",2022-11-12 09:00:00,7.03032,659,4278
"NO2",2022-11-12 08:00:00,6.914,659,4278
"NO2",2022-11-12 07:00:00,6.61127,659,4278
"NO2",2022-11-12 06:00:00,6.28251,659,4278
"NO2",2022-11-12 05:00:00,8.65924,659,4278
"NO2",2022-11-12 04:00:00,7.46636,659,4278
"NO2",2022-11-12 03:00:00,7.32668,659,4278
"NO2",2022-11-12 02:00:00,8.23382,659,4278
"NO2",2022-11-12 01:00:00,8.84459,659,4278
"NO2",2022-11-12 00:00:00,11.4316,659,4278
"NO2",2022-11-11 23:00:00,11.3403,659,4278
"NO2",2022-11-11 22:00:00,12.4747,659,4278
"NO2",2022-11-11 21:00:00,11.8017,659,4278
"NO2",2022-11-11 20:00:00,11.3913,659,4278
"NO2",2022-11-11 19:00:00,11.8236,659,4278
"NO2",2022-11-11 18:00:00,10.8586,659,4278
"NO2",2022-11-11 17:00:00,9.87495,659,4278
"NO2",2022-11-11 16:00:00,10.9308,659,4278
"NO2",2022-11-11 15:00:00,10.0024,659,4278
"NO2",2022-11-11 14:00:00,12.0169,659,4278
"NO2",2022-11-11 13:00:00,9.78307,659,4278
"NO2",2022-11-11 12:00:00,9.64604,659,4278
"NO2",2022-11-11 11:00:00,7.14504,659,4278
"NO2",2022-11-11 10:00:00,8.143,659,4278
"NO2",2022-11-11 09:00:00,9.79156,659,4278
"NO2",2022-11-11 08:00:00,11.7795,659,4278
"NO2",2022-11-11 07:00:00,15.9493,659,4278
"NO2",2022-11-11 06:00:00,15.0267,659,4278
"NO2",2022-11-11 05:00:00,14.4197,659,4278
"NO2",2022-11-11 04:00:00,12.1173,659,4278
"NO2",2022-11-11 03:00:00,10.6918,659,4278
"NO2",2022-11-11 02:00:00,10.0428,659,4278
"NO2",2022-11-11 01:00:00,10.0024,659,4278
"NO2",2022-11-11 00:00:00,11.4045,659,4278
"NO2",2022-11-10 23:00:00,12.5263,659,4278
"PM10",2022-11-13 07:00:00,19.5587,659,14416
"PM10",2022-11-13 06:00:00,20.536,659,14416
"PM10",2022-11-13 05:00:00,20.7032,659,14416
"PM10",2022-11-13 04:00:00,23.4389,659,14416
"PM10",2022-11-13 03:00:00,27.1387,659,14416
"PM10",2022-11-13 02:00:00,28.0223,659,14416
"PM10",2022-11-13 01:00:00,27.0684,659,14416
"PM10",2022-11-13 00:00:00,29.2874,659,14416
"PM10",2022-11-12 23:00:00,27.9998,659,14416
"PM10",2022-11-12 22:00:00,29.9245,659,14416
"PM10",2022-11-12 21:00:00,29.8186,659,14416
"PM10",2022-11-12 20:00:00,31.8159,659,14416
"PM10",2022-11-12 19:00:00,31.1316,659,14416
"PM10",2022-11-12 18:00:00,35.4978,659,14416
"PM10",2022-11-12 17:00:00,36.6463,659,14416
"PM10",2022-11-12 16:00:00,45.7963,659,14416
"PM10",2022-11-12 15:00:00,49.8865,659,14416
"PM10",2022-11-12 14:00:00,21.9051,659,14416
"PM10",2022-11-12 13:00:00,19.3096,659,14416
"PM10",2022-11-12 12:00:00,17.6414,659,14416
"PM10",2022-11-12 11:00:00,17.7917,659,14416
"PM10",2022-11-12 10:00:00,14.4775,659,14416
"PM10",2022-11-12 09:00:00,15.4461,659,14416
"PM10",2022-11-12 08:00:00,16.4622,659,14416
"PM10",2022-11-12 07:00:00,16.1173,659,14416
"PM10",2022-11-12 06:00:00,15.7696,659,14416
"PM10",2022-11-12 05:00:00,18.1735,659,14416
"PM10",2022-11-12 04:00:00,19.4879,659,14416
"PM10",2022-11-12 03:00:00,21.4151,659,14416
"PM10",2022-11-12 02:00:00,21.3389,659,14416
"PM10",2022-11-12 01:00:00,21.933,659,14416
"PM10",2022-11-12 00:00:00,25.2952,659,14416
"PM10",2022-11-11 23:00:00,25.2956,659,14416
"PM10",2022-11-11 22:00:00,26.3373,659,14416
"PM10",2022-11-11 21:00:00,23.8935,659,14416
"PM10",2022-11-11 20:00:00,21.8566,659,14416
"PM10",2022-11-11 19:00:00,20.932,659,14416
"PM10",2022-11-11 18:00:00,21.79,659,14416
"PM10",2022-11-11 17:00:00,20.8673,659,14416
"PM10",2022-11-11 16:00:00,25.7495,659,14416
"PM10",2022-11-11 15:00:00,21.326,659,14416
"PM10",2022-11-11 14:00:00,18.7609,659,14416
"PM10",2022-11-11 13:00:00,15.7432,659,14416
"PM10",2022-11-11 12:00:00,15.132,659,14416
"PM10",2022-11-11 11:00:00,16.5173,659,14416
"PM10",2022-11-11 10:00:00,19.8189,659,14416
"PM10",2022-11-11 09:00:00,26.6702,659,14416
"PM10",2022-11-11 08:00:00,31.7914,659,14416
"PM10",2022-11-11 07:00:00,31.5401,659,14416
"PM10",2022-11-11 06:00:00,30.9755,659,14416
"PM10",2022-11-11 05:00:00,29.8117,659,14416
"PM10",2022-11-11 04:00:00,27.1448,659,14416
"PM10",2022-11-11 03:00:00,23.7125,659,14416
"PM10",2022-11-11 02:00:00,21.3571,659,14416
"PM10",2022-11-11 01:00:00,19.1392,659,14416
"PM10",2022-11-11 00:00:00,23.4808,659,14416
"PM10",2022-11-10 23:00:00,26.677,659,14416
"PM2.5",2022-11-13 07:00:00,16.6523,659,25910
"PM2.5",2022-11-13 06:00:00,17.7555,659,25910
"PM2.5",2022-11-13 05:00:00,17.5233,659,25910
"PM2.5",2022-11-13 04:00:00,19.8519,659,25910
"PM2.5",2022-11-13 03:00:00,23.2771,659,25910
"PM2.5",2022-11-13 02:00:00,23.9068,659,25910
"PM2.5",2022-11-13 01:00:00,23.2866,659,25910
"PM2.5",2022-11-13 00:00:00,24.8978,659,25910
"PM2.5",2022-11-12 23:00:00,24.0185,659,25910
"PM2.5",2022-11-12 22:00:00,25.8168,659,25910
"PM2.5",2022-11-12 21:00:00,25.728,659,25910
"PM2.5",2022-11-12 20:00:00,27.1467,659,25910
"PM2.5",2022-11-12 19:00:00,26.5088,659,25910
"PM2.5",2022-11-12 18:00:00,30.0098,659,25910
"PM2.5",2022-11-12 17:00:00,29.984,659,25910
"PM2.5",2022-11-12 16:00:00,37.0335,659,25910
"PM2.5",2022-11-12 15:00:00,39.8987,659,25910
"PM2.5",2022-11-12 14:00:00,16.9357,659,25910
"PM2.5",2022-11-12 13:00:00,14.0972,659,25910
"PM2.5",2022-11-12 12:00:00,12.6285,659,25910
"PM2.5",2022-11-12 11:00:00,13.7184,659,25910
"PM2.5",2022-11-12 10:00:00,11.1749,659,25910
"PM2.5",2022-11-12 09:00:00,11.3393,659,25910
"PM2.5",2022-11-12 08:00:00,12.3867,659,25910
"PM2.5",2022-11-12 07:00:00,12.2698,659,25910
