"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-04 22:00:00,291,2.3,11.3,NA,33,NA,NA,NA
2022-11-04 21:00:00,291,2.2,10.6,NA,30,NA,NA,NA
2022-11-04 20:00:00,291,2,10.7,NA,30,NA,NA,NA
2022-11-04 19:00:00,291,2.2,10.4,NA,27,NA,NA,NA
2022-11-04 18:00:00,291,2.3,11,NA,30,NA,NA,NA
2022-11-04 17:00:00,291,2.9,13,NA,35,NA,NA,NA
2022-11-04 16:00:00,291,2.8,13.3,NA,79,NA,NA,NA
2022-11-04 15:00:00,291,4.8,15.1,NA,26,NA,NA,NA
2022-11-04 14:00:00,291,2.1,12.4,NA,28,NA,NA,NA
2022-11-04 13:00:00,291,2.1,11,NA,21,NA,NA,NA
2022-11-04 12:00:00,291,2.1,7.8,36.7,24,NA,NA,NA
2022-11-04 11:00:00,291,2,9.1,32.5,19,NA,NA,NA
2022-11-04 10:00:00,291,2.1,8.7,29.7,22,NA,NA,NA
2022-11-04 09:00:00,291,2,9.8,26.6,20,NA,NA,NA
2022-11-04 08:00:00,291,2.1,10.3,26.5,26,NA,NA,NA
2022-11-04 07:00:00,291,2.1,8.8,27.8,24,NA,NA,NA
2022-11-04 06:00:00,291,NA,9.4,27,27,NA,NA,NA
2022-11-04 05:00:00,291,NA,7.5,29.3,21,NA,NA,NA
2022-11-04 04:00:00,291,2.5,NA,NA,19,NA,NA,NA
2022-11-04 03:00:00,291,2.3,NA,NA,22,NA,NA,NA
2022-11-04 02:00:00,291,2.4,7.2,NA,23,NA,NA,NA
2022-11-04 01:00:00,291,2.4,6.6,NA,22,NA,NA,NA
2022-11-04 00:00:00,291,2.7,7.1,40.2,20,NA,NA,NA
2022-11-03 23:00:00,291,2.7,7.8,42,21,NA,NA,NA
2022-11-03 22:00:00,291,2.8,7.9,38.7,20,NA,NA,NA
2022-11-03 21:00:00,291,2.4,8.4,35.5,21,NA,NA,NA
2022-11-03 20:00:00,291,2.2,9.2,NA,24,NA,NA,NA
2022-11-03 19:00:00,291,2.6,11.3,NA,34,NA,NA,NA
2022-11-03 18:00:00,291,3.3,16.7,NA,39,NA,NA,NA
2022-11-03 17:00:00,291,3.8,20.8,NA,36,NA,NA,NA
2022-11-03 16:00:00,291,2.7,20.8,25.4,35,NA,NA,NA
2022-11-03 15:00:00,291,2,19.3,26,26,NA,NA,NA
2022-11-03 14:00:00,291,1.9,10.8,42,15,NA,NA,NA
2022-11-03 13:00:00,291,1.8,5.3,61.6,13,NA,NA,NA
2022-11-03 12:00:00,291,1.7,4.6,63.4,13,NA,NA,NA
2022-11-03 11:00:00,291,2,5.1,56.6,19,NA,NA,NA
2022-11-03 10:00:00,291,2.4,6.4,NA,26,NA,NA,NA
2022-11-03 09:00:00,291,3.3,9.8,NA,26,NA,NA,NA
2022-11-03 08:00:00,291,3.4,7.8,NA,23,NA,NA,NA
2022-11-03 07:00:00,291,NA,7.8,NA,23,NA,NA,NA
2022-11-03 06:00:00,291,NA,9.1,18.6,18,NA,NA,NA
2022-11-03 05:00:00,291,2.3,10.2,17.2,20,NA,NA,NA
2022-11-03 04:00:00,291,2.1,NA,NA,15,NA,NA,NA
2022-11-03 03:00:00,291,2,5.6,27.5,17,NA,NA,NA
2022-11-03 02:00:00,291,2.1,5,32.9,12,NA,NA,NA
2022-11-03 01:00:00,291,1.9,5,35.8,20,NA,NA,NA
2022-11-03 00:00:00,291,2,5.7,31.4,22,NA,NA,NA
2022-11-02 23:00:00,291,2.1,7.3,29.5,23,NA,NA,NA
2022-11-04 22:00:00,659,NA,13.4759,29.4183,40.6541,381.23,30.0564,NA
2022-11-04 21:00:00,659,NA,16.4198,27.5406,41.845,385.02,29.5437,NA
2022-11-04 20:00:00,659,NA,16.8962,29.1439,43.8603,377.57,29.6418,NA
2022-11-04 19:00:00,659,NA,17.055,31.5822,44.6697,423.21,32.2139,NA
2022-11-04 18:00:00,659,NA,18.0227,33.1122,47.3536,501.71,37.1196,NA
2022-11-04 17:00:00,659,NA,21.0437,32.5733,43.173,503.13,34.1575,NA
2022-11-04 16:00:00,659,NA,25.9873,27.1533,46.1597,500.92,37.7361,NA
2022-11-04 15:00:00,659,NA,28.2397,25.4467,32.7264,421.14,25.4241,NA
2022-11-04 14:00:00,659,NA,21.1685,37.1539,25.8737,303.72,17.7488,NA
2022-11-04 13:00:00,659,NA,11.3716,48.9967,19.6889,243.22,13.4812,NA
2022-11-04 12:00:00,659,NA,9.80166,48.1683,18.5989,241.19,13.3186,NA
2022-11-04 11:00:00,659,NA,10.5123,44.6889,20.4266,238.74,13.9502,NA
2022-11-04 10:00:00,659,NA,11.5442,41.5478,20.1253,247.85,14.9972,NA
2022-11-04 09:00:00,659,NA,10.8772,41.1028,22.9429,267.26,16.264,NA
2022-11-04 08:00:00,659,NA,13.2608,35.8233,22.5259,264.3,16.067,NA
2022-11-04 07:00:00,659,NA,13.2783,32.1772,21.1677,273.7,15.8131,NA
2022-11-04 06:00:00,659,NA,15.4182,22.0722,22.8482,356.18,16.9555,NA
2022-11-04 05:00:00,659,NA,12.9782,23.5644,22.1515,336.4,17.1151,NA
