DatetimeBegin UTC+01;date_beg_UTC_00;Concentration;AirQualityStationEoICode;AirPollutant;AveragingTime;;;DatetimeEnd
07.01.2022 05:00;07.01.2022 04:00;23.99;PL0012A;PM10;hour;;;2022-01-07 06:00:00 +01:00
07.01.2022 06:00;07.01.2022 05:00;28.21;PL0012A;PM10;hour;;;2022-01-07 07:00:00 +01:00
07.01.2022 07:00;07.01.2022 06:00;30.18;PL0012A;PM10;hour;;;2022-01-07 08:00:00 +01:00
07.01.2022 08:00;07.01.2022 07:00;36.16;PL0012A;PM10;hour;;;2022-01-07 09:00:00 +01:00
07.01.2022 09:00;07.01.2022 08:00;30.97;PL0012A;PM10;hour;;;2022-01-07 10:00:00 +01:00
07.01.2022 10:00;07.01.2022 09:00;122.75;PL0012A;PM10;hour;;;2022-01-07 11:00:00 +01:00
07.01.2022 11:00;07.01.2022 10:00;164.89;PL0012A;PM10;hour;;;2022-01-07 12:00:00 +01:00
07.01.2022 12:00;07.01.2022 11:00;179.82;PL0012A;PM10;hour;;;2022-01-07 13:00:00 +01:00
07.01.2022 13:00;07.01.2022 12:00;184.39;PL0012A;PM10;hour;;;2022-01-07 14:00:00 +01:00
07.01.2022 14:00;07.01.2022 13:00;317.18;PL0012A;PM10;hour;;;2022-01-07 15:00:00 +01:00
07.01.2022 15:00;07.01.2022 14:00;260.55;PL0012A;PM10;hour;;;2022-01-07 16:00:00 +01:00
07.01.2022 16:00;07.01.2022 15:00;171.57;PL0012A;PM10;hour;;;2022-01-07 17:00:00 +01:00
07.01.2022 17:00;07.01.2022 16:00;200.06;PL0012A;PM10;hour;;;2022-01-07 18:00:00 +01:00
07.01.2022 18:00;07.01.2022 17:00;90.11;PL0012A;PM10;hour;;;2022-01-07 19:00:00 +01:00
07.01.2022 19:00;07.01.2022 18:00;60.48;PL0012A;PM10;hour;;;2022-01-07 20:00:00 +01:00
07.01.2022 20:00;07.01.2022 19:00;50.63;PL0012A;PM10;hour;;;2022-01-07 21:00:00 +01:00
07.01.2022 21:00;07.01.2022 20:00;55.97;PL0012A;PM10;hour;;;2022-01-07 22:00:00 +01:00
07.01.2022 22:00;07.01.2022 21:00;75.66;PL0012A;PM10;hour;;;2022-01-07 23:00:00 +01:00
07.01.2022 23:00;07.01.2022 22:00;102.41;PL0012A;PM10;hour;;;2022-01-08 00:00:00 +01:00
09.01.2022 00:00;08.01.2022 23:00;78.28;PL0012A;PM10;hour;;;2022-01-09 01:00:00 +01:00
09.01.2022 01:00;09.01.2022 00:00;72.95;PL0012A;PM10;hour;;;2022-01-09 02:00:00 +01:00
09.01.2022 02:00;09.01.2022 01:00;81.59;PL0012A;PM10;hour;;;2022-01-09 03:00:00 +01:00
09.01.2022 03:00;09.01.2022 02:00;81.27;PL0012A;PM10;hour;;;2022-01-09 04:00:00 +01:00
09.01.2022 04:00;09.01.2022 03:00;87.33;PL0012A;PM10;hour;;;2022-01-09 05:00:00 +01:00
09.01.2022 05:00;09.01.2022 04:00;87.38;PL0012A;PM10;hour;;;2022-01-09 06:00:00 +01:00
09.01.2022 06:00;09.01.2022 05:00;83.80;PL0012A;PM10;hour;;;2022-01-09 07:00:00 +01:00
09.01.2022 07:00;09.01.2022 06:00;83.57;PL0012A;PM10;hour;;;2022-01-09 08:00:00 +01:00
09.01.2022 08:00;09.01.2022 07:00;88.43;PL0012A;PM10;hour;;;2022-01-09 09:00:00 +01:00
09.01.2022 09:00;09.01.2022 08:00;91.53;PL0012A;PM10;hour;;;2022-01-09 10:00:00 +01:00
09.01.2022 10:00;09.01.2022 09:00;134.32;PL0012A;PM10;hour;;;2022-01-09 11:00:00 +01:00
09.01.2022 11:00;09.01.2022 10:00;124.72;PL0012A;PM10;hour;;;2022-01-09 12:00:00 +01:00
09.01.2022 12:00;09.01.2022 11:00;110.22;PL0012A;PM10;hour;;;2022-01-09 13:00:00 +01:00
09.01.2022 13:00;09.01.2022 12:00;108.78;PL0012A;PM10;hour;;;2022-01-09 14:00:00 +01:00
09.01.2022 14:00;09.01.2022 13:00;116.70;PL0012A;PM10;hour;;;2022-01-09 15:00:00 +01:00
09.01.2022 15:00;09.01.2022 14:00;93.73;PL0012A;PM10;hour;;;2022-01-09 16:00:00 +01:00
09.01.2022 16:00;09.01.2022 15:00;81.80;PL0012A;PM10;hour;;;2022-01-09 17:00:00 +01:00
09.01.2022 17:00;09.01.2022 16:00;83.24;PL0012A;PM10;hour;;;2022-01-09 18:00:00 +01:00
09.01.2022 18:00;09.01.2022 17:00;79.67;PL0012A;PM10;hour;;;2022-01-09 19:00:00 +01:00
09.01.2022 19:00;09.01.2022 18:00;75.04;PL0012A;PM10;hour;;;2022-01-09 20:00:00 +01:00
09.01.2022 20:00;09.01.2022 19:00;67.74;PL0012A;PM10;hour;;;2022-01-09 21:00:00 +01:00
09.01.2022 21:00;09.01.2022 20:00;65.14;PL0012A;PM10;hour;;;2022-01-09 22:00:00 +01:00
09.01.2022 22:00;09.01.2022 21:00;74.82;PL0012A;PM10;hour;;;2022-01-09 23:00:00 +01:00
09.01.2022 23:00;09.01.2022 22:00;75.95;PL0012A;PM10;hour;;;2022-01-10 00:00:00 +01:00
10.01.2022 00:00;09.01.2022 23:00;78.25;PL0012A;PM10;hour;;;2022-01-10 01:00:00 +01:00
10.01.2022 01:00;10.01.2022 00:00;88.13;PL0012A;PM10;hour;;;2022-01-10 02:00:00 +01:00
10.01.2022 02:00;10.01.2022 01:00;92.60;PL0012A;PM10;hour;;;2022-01-10 03:00:00 +01:00
10.01.2022 03:00;10.01.2022 02:00;94.80;PL0012A;PM10;hour;;;2022-01-10 04:00:00 +01:00
10.01.2022 04:00;10.01.2022 03:00;92.76;PL0012A;PM10;hour;;;2022-01-10 05:00:00 +01:00
10.01.2022 05:00;10.01.2022 04:00;95.63;PL0012A;PM10;hour;;;2022-01-10 06:00:00 +01:00
10.01.2022 06:00;10.01.2022 05:00;87.72;PL0012A;PM10;hour;;;2022-01-10 07:00:00 +01:00
10.01.2022 07:00;10.01.2022 06:00;95.84;PL0012A;PM10;hour;;;2022-01-10 08:00:00 +01:00
10.01.2022 08:00;10.01.2022 07:00;99.83;PL0012A;PM10;hour;;;2022-01-10 09:00:00 +01:00
10.01.2022 09:00;10.01.2022 08:00;56.98;PL0012A;PM10;hour;;;2022-01-10 10:00:00 +01:00
10.01.2022 10:00;10.01.2022 09:00;47.95;PL0012A;PM10;hour;;;2022-01-10 11:00:00 +01:00
10.01.2022 11:00;10.01.2022 10:00;60.28;PL0012A;PM10;hour;;;2022-01-10 12:00:00 +01:00
10.01.2022 12:00;10.01.2022 11:00;54.52;PL0012A;PM10;hour;;;2022-01-10 13:00:00 +01:00
10.01.2022 13:00;10.01.2022 12:00;43.39;PL0012A;PM10;hour;;;2022-01-10 14:00:00 +01:00
10.01.2022 14:00;10.01.2022 13:00;34.29;PL0012A;PM10;hour;;;2022-01-10 15:00:00 +01:00
10.01.2022 15:00;10.01.2022 14:00;37.20;PL0012A;PM10;hour;;;2022-01-10 16:00:00 +01:00
10.01.2022 16:00;10.01.2022 15:00;31.92;PL0012A;PM10;hour;;;2022-01-10 17:00:00 +01:00
10.01.2022 17:00;10.01.2022 16:00;25.94;PL0012A;PM10;hour;;;2022-01-10 18:00:00 +01:00
10.01.2022 18:00;10.01.2022 17:00;26.44;PL0012A;PM10;hour;;;2022-01-10 19:00:00 +01:00
10.01.2022 19:00;10.01.2022 18:00;30.24;PL0012A;PM10;hour;;;2022-01-10 20:00:00 +01:00
10.01.2022 20:00;10.01.2022 19:00;31.94;PL0012A;PM10;hour;;;2022-01-10 21:00:00 +01:00
10.01.2022 21:00;10.01.2022 20:00;31.77;PL0012A;PM10;hour;;;2022-01-10 22:00:00 +01:00
10.01.2022 23:00;10.01.2022 22:00;40.07;PL0012A;PM10;hour;;;2022-01-11 00:00:00 +01:00
11.01.2022 00:00;10.01.2022 23:00;35.61;PL0012A;PM10;hour;;;2022-01-11 01:00:00 +01:00
11.01.2022 01:00;11.01.2022 00:00;34.87;PL0012A;PM10;hour;;;2022-01-11 02:00:00 +01:00
11.01.2022 02:00;11.01.2022 01:00;30.54;PL0012A;PM10;hour;;;2022-01-11 03:00:00 +01:00
11.01.2022 03:00;11.01.2022 02:00;32.10;PL0012A;PM10;hour;;;2022-01-11 04:00:00 +01:00
11.01.2022 04:00;11.01.2022 03:00;33.33;PL0012A;PM10;hour;;;2022-01-11 05:00:00 +01:00
11.01.2022 05:00;11.01.2022 04:00;50.11;PL0012A;PM10;hour;;;2022-01-11 06:00:00 +01:00
11.01.2022 06:00;11.01.2022 05:00;65.94;PL0012A;PM10;hour;;;2022-01-11 07:00:00 +01:00
11.01.2022 07:00;11.01.2022 06:00;73.39;PL0012A;PM10;hour;;;2022-01-11 08:00:00 +01:00
11.01.2022 08:00;11.01.2022 07:00;75.82;PL0012A;PM10;hour;;;2022-01-11 09:00:00 +01:00
10.01.2022 22:00;10.01.2022 21:00;38.86;PL0012A;PM10;hour;;;2022-01-10 23:00:00 +01:00
11.01.2022 09:00;11.01.2022 08:00;82.93;PL0012A;PM10;hour;;;2022-01-11 10:00:00 +01:00
11.01.2022 10:00;11.01.2022 09:00;87.34;PL0012A;PM10;hour;;;2022-01-11 11:00:00 +01:00
11.01.2022 11:00;11.01.2022 10:00;76.30;PL0012A;PM10;hour;;;2022-01-11 12:00:00 +01:00
11.01.2022 12:00;11.01.2022 11:00;85.15;PL0012A;PM10;hour;;;2022-01-11 13:00:00 +01:00
11.01.2022 13:00;11.01.2022 12:00;82.64;PL0012A;PM10;hour;;;2022-01-11 14:00:00 +01:00
11.01.2022 14:00;11.01.2022 13:00;74.35;PL0012A;PM10;hour;;;2022-01-11 15:00:00 +01:00
11.01.2022 15:00;11.01.2022 14:00;90.77;PL0012A;PM10;hour;;;2022-01-11 16:00:00 +01:00
