Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,40.8532000000,µg/m3,2022-01-01 00:00:00 +01:00,2022-01-01 01:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,17.7975000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,15.2446000000,µg/m3,2022-01-01 02:00:00 +01:00,2022-01-01 03:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,19.6067000000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,16.9123000000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,10.1643000000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,7.8283200000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,7.5289700000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,7.1859400000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0735A,PL0735A,SPO_PL0735A_5_001,SPP_PL0735A_5_001,SAM_PL0735A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,8.6285800000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
